SafeTCPF Experiment Log Initialized.
[2026-06-25 20:06:20] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.068s
[2026-06-25 20:06:26] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.567s
[2026-06-25 20:06:26] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.140s
[2026-06-25 20:06:26] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.099s
[2026-06-25 20:06:30] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.623s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.010s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.013s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.032s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.033s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.015s
[2026-06-25 20:06:30] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.027s
[2026-06-25 20:07:05] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.092s
[2026-06-25 20:07:05] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.068s
[2026-06-25 20:07:10] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.615s
[2026-06-25 20:07:10] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.153s
[2026-06-25 20:07:11] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.119s
[2026-06-25 20:07:14] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.750s
[2026-06-25 20:07:14] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.023s
[2026-06-25 20:07:14] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.012s
[2026-06-25 20:07:14] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.039s
[2026-06-25 20:07:15] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.039s
[2026-06-25 20:07:15] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.016s
[2026-06-25 20:07:15] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.035s
[2026-06-25 21:23:23] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.104s
[2026-06-25 21:23:23] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.067s
[2026-06-25 21:23:29] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.469s
[2026-06-25 21:23:29] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.143s
[2026-06-25 21:23:29] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.100s
[2026-06-25 21:23:33] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.489s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.011s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.011s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.034s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.038s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.014s
[2026-06-25 21:23:33] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.030s
[2026-06-25 21:27:08] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.098s
[2026-06-25 21:27:08] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.067s
[2026-06-25 21:27:14] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.575s
[2026-06-25 21:27:14] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.140s
[2026-06-25 21:27:14] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.099s
[2026-06-25 21:27:17] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=3.528s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.012s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=14, Time=0.009s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-CBS-t, Ped=high, Succ=1, Nodes=61, Time=0.038s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=23, Time=0.041s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=13, Time=0.015s
[2026-06-25 21:27:18] Scen=FourTeams, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=16, Time=0.030s
[2026-06-25 21:40:21] Scen=Motorcade, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=229, Time=0.095s
[2026-06-25 21:40:21] Scen=Motorcade, Algo=TC-CBS-t, Ped=medium, Succ=1, Nodes=108, Time=0.064s
[2026-06-25 21:40:27] Scen=Motorcade, Algo=TC-CBS-t, Ped=high, Succ=0, Nodes=0, Time=5.683s
[2026-06-25 21:40:27] Scen=Motorcade, Algo=TC-ICBS, Ped=low, Succ=1, Nodes=151, Time=0.268s
[2026-06-25 21:40:27] Scen=Motorcade, Algo=TC-ICBS, Ped=medium, Succ=1, Nodes=85, Time=0.204s
[2026-06-25 21:40:35] Scen=Motorcade, Algo=TC-ICBS, Ped=high, Succ=1, Nodes=947, Time=7.485s
[2026-06-25 21:40:35] Scen=FourTeams, Algo=TC-CBS-t, Ped=low, Succ=1, Nodes=21, Time=0.023s
